Total (MB),Count,Avg (MB),Med (MB),Min (MB),Max (MB),StdDev (MB),Operation
4543.390,4680,0.971,0.073,0.000,4.700,1.522,[CUDA memset]
338.292,316,1.071,1.412,0.002,4.237,0.620,[CUDA memcpy Device-to-Device]
6.491,751,0.009,0.000,0.000,0.500,0.053,[CUDA memcpy Device-to-Host]
6.395,134,0.048,0.000,0.000,0.500,0.117,[CUDA memcpy Host-to-Device]
