Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
0.1,1564150,338,4627.7,4608.0,4128,6496,148.1,"void cub::_V_300304_SM_890::detail::radix_sort::DeviceRadixSortHistogramKernel<cub::_V_300304_SM_890::detail::radix_sort::policy_selector_from_types<unsigned int, unsigned int, unsigned int>, (cub::_V_300304_SM_890::SortOrder)0, unsigned int, unsigned int, cub::_V_300304_SM_890::detail::identity_decomposer_t>(T4 *, const T3 *, T4, int, int, T5)"
0.1,1448084,300,4826.9,4672.0,4416,7264,356.6,"void cub::_V_300304_SM_890::detail::scan::DeviceScanKernel<cub::_V_300304_SM_890::detail::scan::policy_hub<unsigned long, unsigned long, unsigned long, unsigned int, cuda::std::__4::plus<void>>::Policy1000, unsigned long *, unsigned long *, cub::_V_300304_SM_890::ScanTileState<unsigned long, (bool)1>, cuda::std::__4::plus<void>, cub::_V_300304_SM_890::NullType, unsigned int, unsigned long, (bool)0, cub::_V_300304_SM_890::NullType>(T2, T3, T4, int, T5, T6, T7)"
0.1,1228532,432,2843.8,2848.0,2432,3456,216.5,"void cub::_V_300304_SM_890::detail::merge_sort::DeviceMergeSortPartitionKernel<thrust::_V_300304_SM_890::device_ptr<float>, unsigned int, lfs::core::ops::sort_less_op, float>(bool, T1, T4 *, T2, T2, T2 *, T3, T2, int)"
0.1,1118808,2,559404.0,559404.0,539932,578876,27537.6,"lfs::core::tensor_ops::<unnamed>::fused_segmented_transform_reduce_kernel(const float *, float *, unsigned long, unsigned long, lfs::core::tensor_ops::FusedPointwiseOpChain, int)"
0.1,1082521,38,28487.4,27647.5,21152,37248,4415.8,"edge_compute::rasterization::kernels::forward::create_instances_cu(const unsigned int *, const unsigned int *, const unsigned int *, const ushort4 *, const float2 *, const float4 *, unsigned int *, unsigned int *, unsigned int, unsigned int, unsigned int)"
0.1,1065659,300,3552.2,3552.0,3200,4416,134.2,"fast_lfs::rasterization::kernels::forward::extract_instance_ranges_cu(const unsigned int *, uint2 *, fast_lfs::rasterization::FastGSForwardStatus *, unsigned int, unsigned int, unsigned int, const unsigned long *)"
0.1,1040347,300,3467.8,3456.0,3360,3584,43.2,"lfs::core::tensor_ops::clamp_kernel_vectorized(float *, float, float, unsigned long)"
0.1,950453,38,25011.9,24880.0,22816,28128,1473.9,"edge_compute::rasterization::kernels::forward::preprocess_cu(const float3 *, const float3 *, const float4 *, const float *, const float4 *, unsigned int *, unsigned int *, ushort4 *, float2 *, float4 *, unsigned int, unsigned int, unsigned int, float, float, float, float, float, float, float, float, unsigned int, bool)"
0.1,881912,378,2333.1,2336.0,2112,2496,46.8,"lfs::training::kernels::normalize_by_device_scalar_kernel(float *, unsigned long, const float *, float)"
0.1,756384,300,2521.3,2528.0,2464,2592,20.1,"lfs::training::kernels::fused_grad_alpha_chw_kernel(const float *, const float *, float *, int, int)"
0.0,695258,300,2317.5,2304.0,2272,2368,16.3,"lfs::training::kernels::<unnamed>::ssim_to_error_map_kernel(const float *, float *, int, int, int)"
0.0,653980,38,17210.0,17216.0,16800,18336,308.3,"void lfs::training::kernels::fused_canny_edge_filter_chw_kernel<unsigned char>(const T1 *, float *, int, int)"
0.0,640476,2,320238.0,320238.0,315038,325438,7353.9,"void lfs::core::tensor_ops::broadcast_row_kernel_float<lfs::core::ops::sub_op>(const float *, const float *, float *, unsigned long, unsigned long, bool, T1)"
0.0,557947,300,1859.8,1696.0,1216,4416,638.7,"lfs::training::kernels::<unnamed>::update_camera_loss_heatmap_kernel(const float *, int, float, float *, float *, unsigned long)"
0.0,546812,300,1822.7,1824.0,1664,3264,137.0,"void cub::_V_300304_SM_890::detail::reduce::DeviceReduceKernel<cub::_V_300304_SM_890::detail::reduce::policy_selector_from_types<float, unsigned long long, cuda::std::__4::plus<void>>, const float *, unsigned long long, cuda::std::__4::plus<void>, float, cuda::std::__4::identity>(T2, T5 *, T3, cub::_V_300304_SM_890::GridEvenShare<T3>, T4, T6)"
0.0,425211,300,1417.4,1408.0,1248,2144,56.4,"lfs::training::kernels::<unnamed>::final_mean_reduce_kernel(const float *, float *, int, unsigned long)"
0.0,362366,300,1207.9,1216.0,1184,1376,25.4,"void cub::_V_300304_SM_890::detail::reduce::DeviceReduceSingleTileKernel<cub::_V_300304_SM_890::detail::reduce::policy_selector_from_types<float, unsigned long long, cuda::std::__4::plus<void>>, float *, float *, int, cuda::std::__4::plus<void>, float, float, cuda::std::__4::identity>(T2, T3, T4, T5, T6, T8)"
0.0,357662,78,4585.4,4608.0,4256,4800,118.3,"void cub::_V_300304_SM_890::detail::select::DeviceSelectSweepKernel<cub::_V_300304_SM_890::detail::select::policy_hub<float, bool, int, (bool)0, (cub::_V_300304_SM_890::SelectImpl)0>::Policy1000, thrust::_V_300304_SM_890::transform_iterator<lfs::core::ops::extract_value_op, thrust::_V_300304_SM_890::zip_iterator<cuda::std::__4::tuple<thrust::_V_300304_SM_890::device_ptr<const float>, thrust::_V_300304_SM_890::device_ptr<const unsigned char>>>, thrust::_V_300304_SM_890::use_default, thrust::_V_300304_SM_890::use_default>, thrust::_V_300304_SM_890::transform_iterator<lfs::core::ops::extract_mask_op, thrust::_V_300304_SM_890::zip_iterator<cuda::std::__4::tuple<thrust::_V_300304_SM_890::device_ptr<const float>, thrust::_V_300304_SM_890::device_ptr<const unsigned char>>>, thrust::_V_300304_SM_890::use_default, thrust::_V_300304_SM_890::use_default>, thrust::_V_300304_SM_890::device_ptr<float>, long *, cub::_V_300304_SM_890::ScanTileState<int, (bool)1>, void lfs::core::tensor_ops::<unnamed>::launch_masked_select_impl<float>(const T1 *, const unsigned char *, T1 *, unsigned long, unsigned long, CUstream_st *)::[lambda(bool) (instance 1)], cub::_V_300304_SM_890::NullType, int, cub::_V_300304_SM_890::detail::select::streaming_context_t<long, (bool)1>, (cub::_V_300304_SM_890::SelectImpl)0>(T2, T3, T4, T5, T6, T7, T8, T9, int, T10, cub::_V_300304_SM_890::detail::vsmem_t)"
0.0,348925,338,1032.3,1024.0,992,1280,20.7,"void cub::_V_300304_SM_890::detail::radix_sort::DeviceRadixSortExclusiveSumKernel<cub::_V_300304_SM_890::detail::radix_sort::policy_selector_from_types<unsigned int, unsigned int, unsigned int>, unsigned int>(T2 *)"
0.0,314523,300,1048.4,1056.0,1023,1248,23.6,"void cub::_V_300304_SM_890::detail::transform::transform_kernel<cub::_V_300304_SM_890::detail::transform::policy_selector_from_types<(bool)1, (bool)1, cuda::std::__4::tuple<thrust::_V_300304_SM_890::device_ptr<const float>, thrust::_V_300304_SM_890::device_ptr<const float>>, thrust::_V_300304_SM_890::device_ptr<float>>, int, cub::_V_300304_SM_890::detail::transform::always_true_predicate, lfs::core::ops::add_op, float *, const float *, const float *>(T2, int, bool, T3, T4, T5, cub::_V_300304_SM_890::detail::transform::kernel_arg<T6>...)"
0.0,295326,300,984.4,992.0,864,1728,48.1,"void cub::_V_300304_SM_890::detail::transform::transform_kernel<cub::_V_300304_SM_890::detail::transform::policy_selector_from_types<(bool)1, (bool)1, cuda::std::__4::tuple<thrust::_V_300304_SM_890::device_ptr<float>>, thrust::_V_300304_SM_890::device_ptr<float>>, int, cub::_V_300304_SM_890::detail::transform::always_true_predicate, lfs::core::tensor_ops::DivideByFunctor, float *, float *>(T2, int, bool, T3, T4, T5, cub::_V_300304_SM_890::detail::transform::kernel_arg<T6>...)"
0.0,273502,300,911.7,896.0,768,2080,156.5,"void cub::_V_300304_SM_890::detail::scan::DeviceScanInitKernel<cub::_V_300304_SM_890::ScanTileState<unsigned long, (bool)1>>(T1, int)"
0.0,198205,80,2477.6,2464.0,2336,2592,60.6,"void cub::_V_300304_SM_890::detail::transform::transform_kernel<cub::_V_300304_SM_890::detail::transform::policy_selector_from_types<(bool)1, (bool)1, cuda::std::__4::tuple<thrust::_V_300304_SM_890::zip_iterator<cuda::std::__4::tuple<thrust::_V_300304_SM_890::device_ptr<float>, thrust::_V_300304_SM_890::device_ptr<const unsigned char>>>>, thrust::_V_300304_SM_890::device_ptr<float>>, int, cub::_V_300304_SM_890::detail::transform::always_true_predicate, lfs::core::ops::masked_fill_op<float>, float *, thrust::_V_300304_SM_890::zip_iterator<cuda::std::__4::tuple<thrust::_V_300304_SM_890::device_ptr<float>, thrust::_V_300304_SM_890::device_ptr<const unsigned char>>>>(T2, int, bool, T3, T4, T5, cub::_V_300304_SM_890::detail::transform::kernel_arg<T6>...)"
0.0,180863,78,2318.8,2144.0,1952,4064,378.6,"void cub::_V_300304_SM_890::detail::transform::transform_kernel<cub::_V_300304_SM_890::detail::transform::policy_selector_from_types<(bool)0, (bool)1, cuda::std::__4::tuple<cuda::__4::counting_iterator<long>>, thrust::_V_300304_SM_890::device_ptr<long>>, int, cub::_V_300304_SM_890::detail::transform::always_true_predicate, cuda::__4::__callable_permitting_copied_arguments<thrust::_V_300304_SM_890::system::detail::generic::detail::compute_sequence_value<long>>, long *, cuda::__4::counting_iterator<long>>(T2, int, bool, T3, T4, T5, cub::_V_300304_SM_890::detail::transform::kernel_arg<T6>...)"
