Total (MB),Count,Avg (MB),Med (MB),Min (MB),Max (MB),StdDev (MB),Operation
4543.163,4680,0.971,0.074,0.000,4.694,1.522,[CUDA memset]
338.212,316,1.070,1.412,0.002,4.237,0.620,[CUDA memcpy Device-to-Device]
6.499,751,0.009,0.000,0.000,0.500,0.053,[CUDA memcpy Device-to-Host]
6.398,134,0.048,0.000,0.000,0.500,0.117,[CUDA memcpy Host-to-Device]
