Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
57.9,623998634,300,2079995.4,1995068.5,1591888,3348447,332196.1,"void fast_lfs::rasterization::kernels::backward::blend_backward_cu<(DensificationType)2, (bool)0>(const uint2 *, const unsigned int *, const float2 *, const float4 *, const float3 *, const float *, const float3 *, const float *, const float *, const float *, const float *, const float *, const float *, const unsigned int *, const float *, float2 *, float *, float *, float3 *, float *, float3 *, float *, const float *, fast_lfs::rasterization::FastGSForwardStatus *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int)"
17.3,186592699,300,621975.7,611802.0,596795,691801,19562.1,"void fast_lfs::rasterization::kernels::backward::preprocess_backward_cu<(bool)0, (int)4>(const float3 *, const float3 *, const float4 *, const float4 *, const float4 *, const float3 *, const float *, const unsigned long *, const float2 *, const float *, const float *, const float3 *, float *, float3 *, float4 *, float *, unsigned int, float, float, float, float, float, float, unsigned int, fast_lfs::rasterization::FusedAdamSettings)"
11.6,124798831,300,415996.1,403068.5,322877,589147,55243.2,"void fast_lfs::rasterization::kernels::forward::blend_cu<(bool)0>(const uint2 *, const unsigned int *, const float2 *, const float4 *, const float3 *, const float *, const float3 *, float *, float *, float *, float *, unsigned int *, float *, const float *, const float *, unsigned int, unsigned int, unsigned int)"
3.4,36746940,38,967024.7,947351.0,642201,1318387,200441.1,"edge_compute::rasterization::kernels::forward::edge_blend_cu(const uint2 *, const unsigned int *, const float2 *, const float4 *, unsigned int, unsigned int, unsigned int, const float *, float *)"
1.8,19611392,300,65371.3,64911.0,47583,95327,7099.8,"fast_lfs::rasterization::kernels::forward::preprocess_cu(const float3 *, const float3 *, const float4 *, const float *, const float3 *, const float4 *, const float4 *, const float3 *, unsigned int *, float *, unsigned long *, ushort4 *, float2 *, float4 *, float3 *, float3 *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, float, float, float, float, float, float, float, float, unsigned int, bool)"
1.5,15858182,300,52860.6,52864.0,52511,53215,138.7,"void <unnamed>::fusedL1SSIMBackwardCUDA<unsigned char, __half>(float, int, int, int, float, float, float, bool, const float *, const T1 *, float *, const T2 *, const T2 *, const T2 *)"
1.4,14618285,1352,10812.3,10624.0,9824,13344,650.8,"void cub::_V_300304_SM_890::detail::radix_sort::DeviceRadixSortOnesweepKernel<cub::_V_300304_SM_890::detail::radix_sort::policy_selector_from_types<unsigned int, unsigned int, unsigned int>, (cub::_V_300304_SM_890::SortOrder)0, unsigned int, unsigned int, unsigned int, int, int, cub::_V_300304_SM_890::detail::identity_decomposer_t>(T7 *, T7 *, T5 *, const T5 *, T3 *, const T3 *, T4 *, const T4 *, T6, int, int, T8)"
1.1,12218441,300,40728.1,40704.0,40415,41184,128.4,"void <unnamed>::fusedL1SSIMForwardCUDA<unsigned char>(int, int, int, float, float, const float *, const T1 *, __half *, __half *, __half *, float *)"
0.9,9736077,300,32453.6,32447.5,19968,45152,5218.2,"fast_lfs::rasterization::kernels::forward::create_instances_cu(const unsigned long *, const unsigned long *, const unsigned int *, const ushort4 *, const float2 *, const float4 *, unsigned int *, unsigned int *, fast_lfs::rasterization::FastGSForwardStatus *, unsigned int, unsigned int, unsigned int, unsigned int)"
0.4,4446231,300,14820.8,14496.0,12607,17568,874.6,"lfs::training::mrnf_strategy::fold_densification_and_zero_kernel(float *, float *, float *, unsigned long)"
