Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
0.1,1171704,300,3905.7,3904.0,3648,5888,154.5,"void cub::_V_300304_SM_890::detail::scan::DeviceScanKernel<cub::_V_300304_SM_890::detail::scan::policy_hub<unsigned long, unsigned long, unsigned long, unsigned int, cuda::std::__4::plus<void>>::Policy1000, unsigned long *, unsigned long *, cub::_V_300304_SM_890::ScanTileState<unsigned long, (bool)1>, cuda::std::__4::plus<void>, cub::_V_300304_SM_890::NullType, unsigned int, unsigned long, (bool)0, cub::_V_300304_SM_890::NullType>(T2, T3, T4, int, T5, T6, T7)"
0.1,1139735,409,2786.6,2784.0,2272,3296,200.3,"void cub::_V_300304_SM_890::detail::merge_sort::DeviceMergeSortPartitionKernel<thrust::_V_300304_SM_890::device_ptr<float>, unsigned int, lfs::core::ops::sort_less_op, float>(bool, T1, T4 *, T2, T2, T2 *, T3, T2, int)"
0.1,1118236,338,3308.4,3296.0,3104,3584,96.4,"void cub::_V_300304_SM_890::detail::radix_sort::DeviceRadixSortHistogramKernel<cub::_V_300304_SM_890::detail::radix_sort::policy_selector_from_types<unsigned int, unsigned int, unsigned int>, (cub::_V_300304_SM_890::SortOrder)0, unsigned int, unsigned int, cub::_V_300304_SM_890::detail::identity_decomposer_t>(T4 *, const T3 *, T4, int, int, T5)"
0.1,1036155,300,3453.8,3456.0,3328,3616,47.4,"lfs::core::tensor_ops::clamp_kernel_vectorized(float *, float, float, unsigned long)"
0.1,1002426,38,26379.6,25951.5,18144,38400,5287.6,"edge_compute::rasterization::kernels::forward::create_instances_cu(const unsigned int *, const unsigned int *, const unsigned int *, const ushort4 *, const float2 *, const float4 *, unsigned int *, unsigned int *, unsigned int, unsigned int, unsigned int)"
0.1,974491,1,974491.0,974491.0,974491,974491,0.0,"lfs::training::mrnf_strategy::gumbel_key_kernel(const float *, float *, unsigned long, unsigned long)"
0.1,929115,1,929115.0,929115.0,929115,929115,0.0,"lfs::training::mrnf_strategy::gumbel_key_for_indices_kernel(const float *, const long *, float *, unsigned long, unsigned long)"
0.1,859902,378,2274.9,2336.0,1696,2560,184.2,"lfs::training::kernels::normalize_by_device_scalar_kernel(float *, unsigned long, const float *, float)"
0.1,755100,300,2517.0,2528.0,2464,3168,41.8,"lfs::training::kernels::fused_grad_alpha_chw_kernel(const float *, const float *, float *, int, int)"
0.1,746207,300,2487.4,2464.0,2272,2752,88.7,"fast_lfs::rasterization::kernels::forward::extract_instance_ranges_cu(const unsigned int *, uint2 *, fast_lfs::rasterization::FastGSForwardStatus *, unsigned int, unsigned int, unsigned int, const unsigned long *)"
0.1,699580,2,349790.0,349790.0,338142,361438,16472.8,"lfs::core::tensor_ops::<unnamed>::fused_segmented_transform_reduce_kernel(const float *, float *, unsigned long, unsigned long, lfs::core::tensor_ops::FusedPointwiseOpChain, int)"
0.1,691551,300,2305.2,2304.0,2271,2336,16.6,"lfs::training::kernels::<unnamed>::ssim_to_error_map_kernel(const float *, float *, int, int, int)"
0.1,606080,38,15949.5,16752.0,14144,17376,1224.0,"void lfs::training::kernels::fused_canny_edge_filter_chw_kernel<unsigned char>(const T1 *, float *, int, int)"
0.1,540410,38,14221.3,14176.0,13472,15392,478.5,"edge_compute::rasterization::kernels::forward::preprocess_cu(const float3 *, const float3 *, const float4 *, const float *, const float4 *, unsigned int *, unsigned int *, ushort4 *, float2 *, float4 *, unsigned int, unsigned int, unsigned int, float, float, float, float, float, float, float, float, unsigned int, bool)"
0.1,537854,300,1792.8,1792.0,1696,1856,19.4,"void cub::_V_300304_SM_890::detail::reduce::DeviceReduceKernel<cub::_V_300304_SM_890::detail::reduce::policy_selector_from_types<float, unsigned long long, cuda::std::__4::plus<void>>, const float *, unsigned long long, cuda::std::__4::plus<void>, float, cuda::std::__4::identity>(T2, T5 *, T3, cub::_V_300304_SM_890::GridEvenShare<T3>, T4, T6)"
0.0,428446,300,1428.2,1408.0,1376,2624,104.9,"lfs::training::kernels::<unnamed>::final_mean_reduce_kernel(const float *, float *, int, unsigned long)"
