Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
0.3,1453243,52,27947.0,24160.0,23776,37312,4374.5,"void cub::_V_300304_SM_890::detail::merge_sort::DeviceMergeSortBlockSortKernel<cub::_V_300304_SM_890::detail::merge_sort::policy_hub<thrust::_V_300304_SM_890::device_ptr<float>>::Policy600, thrust::_V_300304_SM_890::device_ptr<float>, thrust::_V_300304_SM_890::device_ptr<long>, thrust::_V_300304_SM_890::device_ptr<float>, thrust::_V_300304_SM_890::device_ptr<long>, unsigned int, lfs::core::ops::sort_less_op, float, long, cub::_V_300304_SM_890::detail::merge_sort::VSMemHelper>(bool, T2, T3, T4, T5, T6, T8 *, T9 *, T7, cub::_V_300304_SM_890::detail::vsmem_t)"
0.3,1412792,900,1569.8,1568.0,1535,3296,93.3,"nvjpeg::DecodeSingleGPU::dcPrefixSumReadUpKernel(NppiSize, unsigned long, NppiSize, const short *, short *, short *, unsigned int)"
0.2,1398840,239,5852.9,5856.0,4896,8415,607.3,"void cub::_V_300304_SM_890::detail::merge_sort::DeviceMergeSortMergeKernel<cub::_V_300304_SM_890::detail::merge_sort::policy_hub<thrust::_V_300304_SM_890::device_ptr<float>>::Policy600, thrust::_V_300304_SM_890::device_ptr<float>, thrust::_V_300304_SM_890::device_ptr<long>, thrust::_V_300304_SM_890::device_ptr<float>, thrust::_V_300304_SM_890::device_ptr<long>, unsigned int, lfs::core::ops::sort_less_op, float, long, cub::_V_300304_SM_890::detail::merge_sort::VSMemHelper>(bool, T4, T5, T6, T8 *, T9 *, T7, T6 *, T6, cub::_V_300304_SM_890::detail::vsmem_t)"
0.2,1333307,25,53332.3,55424.0,26624,77920,13489.0,"edge_compute::rasterization::kernels::forward::create_instances_cu(const unsigned int *, const unsigned int *, const unsigned int *, const ushort4 *, const float2 *, const float4 *, unsigned int *, unsigned int *, unsigned int, unsigned int, unsigned int)"
0.2,1041856,325,3205.7,3200.0,3136,3424,41.1,"void cub::_V_300304_SM_890::detail::radix_sort::DeviceRadixSortHistogramKernel<cub::_V_300304_SM_890::detail::radix_sort::policy_selector_from_types<unsigned int, unsigned int, unsigned int>, (cub::_V_300304_SM_890::SortOrder)0, unsigned int, unsigned int, cub::_V_300304_SM_890::detail::identity_decomposer_t>(T4 *, const T3 *, T4, int, int, T5)"
0.2,889849,25,35594.0,35360.0,35264,41536,1239.1,"void lfs::training::kernels::fused_canny_edge_filter_chw_kernel<unsigned char>(const T1 *, float *, int, int)"
0.2,850172,300,2833.9,2816.0,2624,3008,88.9,"void cub::_V_300304_SM_890::detail::scan::DeviceScanKernel<cub::_V_300304_SM_890::detail::scan::policy_hub<unsigned long, unsigned long, unsigned long, unsigned int, cuda::std::__4::plus<void>>::Policy1000, unsigned long *, unsigned long *, cub::_V_300304_SM_890::ScanTileState<unsigned long, (bool)1>, cuda::std::__4::plus<void>, cub::_V_300304_SM_890::NullType, unsigned int, unsigned long, (bool)0, cub::_V_300304_SM_890::NullType>(T2, T3, T4, int, T5, T6, T7)"
0.1,831517,300,2771.7,2784.0,2656,3168,43.5,"void cub::_V_300304_SM_890::detail::reduce::DeviceReduceKernel<cub::_V_300304_SM_890::detail::reduce::policy_selector_from_types<float, unsigned long long, cuda::std::__4::plus<void>>, const float *, unsigned long long, cuda::std::__4::plus<void>, float, cuda::std::__4::identity>(T2, T5 *, T3, cub::_V_300304_SM_890::GridEvenShare<T3>, T4, T6)"
0.1,738076,239,3088.2,3072.0,1856,3904,404.8,"void cub::_V_300304_SM_890::detail::merge_sort::DeviceMergeSortPartitionKernel<thrust::_V_300304_SM_890::device_ptr<float>, unsigned int, lfs::core::ops::sort_less_op, float>(bool, T1, T4 *, T2, T2, T2 *, T3, T2, int)"
0.1,711293,300,2371.0,2336.0,2048,3072,195.2,"lfs::training::mrnf_strategy::fold_densification_and_zero_kernel(float *, float *, float *, unsigned long)"
0.1,644319,300,2147.7,2144.0,1376,2720,236.5,"fast_lfs::rasterization::kernels::forward::extract_instance_ranges_cu(const unsigned int *, uint2 *, fast_lfs::rasterization::FastGSForwardStatus *, unsigned int, unsigned int, unsigned int, const unsigned long *)"
0.1,573085,2,286542.5,286542.5,283774,289311,3915.3,"lfs::training::mrnf_strategy::gumbel_key_kernel(const float *, float *, unsigned long, unsigned long)"
0.1,468508,300,1561.7,1568.0,1440,1664,16.7,"lfs::training::kernels::<unnamed>::final_mean_reduce_kernel(const float *, float *, int, unsigned long)"
