Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
58.4,627647360,300,2092157.9,1994730.0,1556079,3778134,335427.7,"void fast_lfs::rasterization::kernels::backward::blend_backward_cu<(DensificationType)2, (bool)0>(const uint2 *, const unsigned int *, const float2 *, const float4 *, const float3 *, const float *, const float3 *, const float *, const float *, const float *, const float *, const float *, const float *, const unsigned int *, const float *, float2 *, float *, float *, float3 *, float *, float3 *, float *, const float *, fast_lfs::rasterization::FastGSForwardStatus *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int)"
16.8,181147416,300,603824.7,590458.0,581242,693945,22331.1,"void fast_lfs::rasterization::kernels::backward::preprocess_backward_cu<(bool)0, (int)4>(const float3 *, const float3 *, const float4 *, const float4 *, const float4 *, const float3 *, const float *, const unsigned long *, const float2 *, const float *, const float *, const float3 *, float *, float3 *, float4 *, float *, unsigned int, float, float, float, float, float, float, unsigned int, fast_lfs::rasterization::FusedAdamSettings)"
11.7,125860374,300,419534.6,406923.0,332092,618010,56280.1,"void fast_lfs::rasterization::kernels::forward::blend_cu<(bool)0>(const uint2 *, const unsigned int *, const float2 *, const float4 *, const float3 *, const float *, const float3 *, float *, float *, float *, float *, unsigned int *, float *, const float *, const float *, unsigned int, unsigned int, unsigned int)"
3.4,36077681,38,949412.7,927077.5,628281,1342833,193951.3,"edge_compute::rasterization::kernels::forward::edge_blend_cu(const uint2 *, const unsigned int *, const float2 *, const float4 *, unsigned int, unsigned int, unsigned int, const float *, float *)"
1.8,19754642,300,65848.8,65967.5,47039,92351,6514.7,"fast_lfs::rasterization::kernels::forward::preprocess_cu(const float3 *, const float3 *, const float4 *, const float *, const float3 *, const float4 *, const float4 *, const float3 *, unsigned int *, float *, unsigned long *, ushort4 *, float2 *, float4 *, float3 *, float3 *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, float, float, float, float, float, float, float, float, unsigned int, bool)"
1.5,15855998,300,52853.3,52832.0,52480,53343,155.6,"void <unnamed>::fusedL1SSIMBackwardCUDA<unsigned char, __half>(float, int, int, int, float, float, float, bool, const float *, const T1 *, float *, const T2 *, const T2 *, const T2 *)"
1.4,14601964,1352,10800.3,10560.0,9664,13440,703.8,"void cub::_V_300304_SM_890::detail::radix_sort::DeviceRadixSortOnesweepKernel<cub::_V_300304_SM_890::detail::radix_sort::policy_selector_from_types<unsigned int, unsigned int, unsigned int>, (cub::_V_300304_SM_890::SortOrder)0, unsigned int, unsigned int, unsigned int, int, int, cub::_V_300304_SM_890::detail::identity_decomposer_t>(T7 *, T7 *, T5 *, const T5 *, T3 *, const T3 *, T4 *, const T4 *, T6, int, int, T8)"
1.1,12204950,300,40683.2,40672.0,40415,40992,120.3,"void <unnamed>::fusedL1SSIMForwardCUDA<unsigned char>(int, int, int, float, float, const float *, const T1 *, __half *, __half *, __half *, float *)"
0.9,9556564,300,31855.2,31216.0,20192,44736,5339.9,"fast_lfs::rasterization::kernels::forward::create_instances_cu(const unsigned long *, const unsigned long *, const unsigned int *, const ushort4 *, const float2 *, const float4 *, unsigned int *, unsigned int *, fast_lfs::rasterization::FastGSForwardStatus *, unsigned int, unsigned int, unsigned int, unsigned int)"
0.4,4435854,300,14786.2,14559.0,11872,16640,766.1,"lfs::training::mrnf_strategy::fold_densification_and_zero_kernel(float *, float *, float *, unsigned long)"
0.3,2945950,300,9819.8,9824.0,9599,10016,77.8,"void lfs::training::kernels::<unnamed>::fused_l1_ssim_sum_kernel<unsigned char>(const float *, const T1 *, const float *, float *, float, int, int, int, int, bool)"
0.2,2157097,432,4993.3,4847.5,4544,7552,412.5,"void cub::_V_300304_SM_890::detail::merge_sort::DeviceMergeSortMergeKernel<cub::_V_300304_SM_890::detail::merge_sort::policy_hub<thrust::_V_300304_SM_890::device_ptr<float>>::Policy600, thrust::_V_300304_SM_890::device_ptr<float>, thrust::_V_300304_SM_890::device_ptr<long>, thrust::_V_300304_SM_890::device_ptr<float>, thrust::_V_300304_SM_890::device_ptr<long>, unsigned int, lfs::core::ops::sort_less_op, float, long, cub::_V_300304_SM_890::detail::merge_sort::VSMemHelper>(bool, T4, T5, T6, T8 *, T9 *, T7, T6 *, T6, cub::_V_300304_SM_890::detail::vsmem_t)"
0.2,1978217,78,25361.8,25440.0,21952,31584,3205.1,"void cub::_V_300304_SM_890::detail::merge_sort::DeviceMergeSortBlockSortKernel<cub::_V_300304_SM_890::detail::merge_sort::policy_hub<thrust::_V_300304_SM_890::device_ptr<float>>::Policy600, thrust::_V_300304_SM_890::device_ptr<float>, thrust::_V_300304_SM_890::device_ptr<long>, thrust::_V_300304_SM_890::device_ptr<float>, thrust::_V_300304_SM_890::device_ptr<long>, unsigned int, lfs::core::ops::sort_less_op, float, long, cub::_V_300304_SM_890::detail::merge_sort::VSMemHelper>(bool, T2, T3, T4, T5, T6, T8 *, T9 *, T7, cub::_V_300304_SM_890::detail::vsmem_t)"
0.2,1932454,300,6441.5,6656.0,3872,8576,876.4,"lfs::training::mrnf_strategy::mrnf_noise_injection_kernel(float *, const float *, const float *, const bool *, unsigned long, float, float, float, unsigned long, unsigned long)"
0.1,1538289,338,4551.2,4543.5,4160,4960,178.2,"void cub::_V_300304_SM_890::detail::radix_sort::DeviceRadixSortHistogramKernel<cub::_V_300304_SM_890::detail::radix_sort::policy_selector_from_types<unsigned int, unsigned int, unsigned int>, (cub::_V_300304_SM_890::SortOrder)0, unsigned int, unsigned int, cub::_V_300304_SM_890::detail::identity_decomposer_t>(T4 *, const T3 *, T4, int, int, T5)"
0.1,1503597,300,5012.0,5056.0,4576,5472,216.4,"void cub::_V_300304_SM_890::detail::scan::DeviceScanKernel<cub::_V_300304_SM_890::detail::scan::policy_hub<unsigned long, unsigned long, unsigned long, unsigned int, cuda::std::__4::plus<void>>::Policy1000, unsigned long *, unsigned long *, cub::_V_300304_SM_890::ScanTileState<unsigned long, (bool)1>, cuda::std::__4::plus<void>, cub::_V_300304_SM_890::NullType, unsigned int, unsigned long, (bool)0, cub::_V_300304_SM_890::NullType>(T2, T3, T4, int, T5, T6, T7)"
0.1,1226073,432,2838.1,2831.5,2432,3456,218.8,"void cub::_V_300304_SM_890::detail::merge_sort::DeviceMergeSortPartitionKernel<thrust::_V_300304_SM_890::device_ptr<float>, unsigned int, lfs::core::ops::sort_less_op, float>(bool, T1, T4 *, T2, T2, T2 *, T3, T2, int)"
0.1,1186898,38,31234.2,30848.0,28256,34688,1630.7,"edge_compute::rasterization::kernels::forward::preprocess_cu(const float3 *, const float3 *, const float4 *, const float *, const float4 *, unsigned int *, unsigned int *, ushort4 *, float2 *, float4 *, unsigned int, unsigned int, unsigned int, float, float, float, float, float, float, float, float, unsigned int, bool)"
0.1,1157297,38,30455.2,29919.5,23008,41888,5780.1,"edge_compute::rasterization::kernels::forward::create_instances_cu(const unsigned int *, const unsigned int *, const unsigned int *, const ushort4 *, const float2 *, const float4 *, unsigned int *, unsigned int *, unsigned int, unsigned int, unsigned int)"
0.1,1118259,2,559129.5,559129.5,539386,578873,27921.5,"lfs::core::tensor_ops::<unnamed>::fused_segmented_transform_reduce_kernel(const float *, float *, unsigned long, unsigned long, lfs::core::tensor_ops::FusedPointwiseOpChain, int)"
0.1,1065072,300,3550.2,3552.0,3168,3936,125.9,"fast_lfs::rasterization::kernels::forward::extract_instance_ranges_cu(const unsigned int *, uint2 *, fast_lfs::rasterization::FastGSForwardStatus *, unsigned int, unsigned int, unsigned int, const unsigned long *)"
0.1,1038903,300,3463.0,3456.0,3360,3648,47.0,"lfs::core::tensor_ops::clamp_kernel_vectorized(float *, float, float, unsigned long)"
0.1,876663,378,2319.2,2336.0,2080,2368,47.5,"lfs::training::kernels::normalize_by_device_scalar_kernel(float *, unsigned long, const float *, float)"
0.1,750773,300,2502.6,2496.0,2463,2528,19.4,"lfs::training::kernels::fused_grad_alpha_chw_kernel(const float *, const float *, float *, int, int)"
0.1,691292,300,2304.3,2304.0,2272,2336,14.7,"lfs::training::kernels::<unnamed>::ssim_to_error_map_kernel(const float *, float *, int, int, int)"
0.1,663223,38,17453.2,17440.0,17151,17856,199.5,"void lfs::training::kernels::fused_canny_edge_filter_chw_kernel<unsigned char>(const T1 *, float *, int, int)"
0.1,635961,2,317980.5,317980.5,313020,322941,7015.2,"void lfs::core::tensor_ops::broadcast_row_kernel_float<lfs::core::ops::sub_op>(const float *, const float *, float *, unsigned long, unsigned long, bool, T1)"
0.0,537181,300,1790.6,1792.0,1727,1824,17.2,"void cub::_V_300304_SM_890::detail::reduce::DeviceReduceKernel<cub::_V_300304_SM_890::detail::reduce::policy_selector_from_types<float, unsigned long long, cuda::std::__4::plus<void>>, const float *, unsigned long long, cuda::std::__4::plus<void>, float, cuda::std::__4::identity>(T2, T5 *, T3, cub::_V_300304_SM_890::GridEvenShare<T3>, T4, T6)"
0.0,499258,300,1664.2,1664.0,1600,1824,35.5,"lfs::training::kernels::<unnamed>::update_camera_loss_heatmap_kernel(const float *, int, float, float *, float *, unsigned long)"
0.0,422132,300,1407.1,1408.0,1375,1440,9.8,"lfs::training::kernels::<unnamed>::final_mean_reduce_kernel(const float *, float *, int, unsigned long)"
0.0,370236,300,1234.1,1248.0,1184,1408,24.7,"void cub::_V_300304_SM_890::detail::reduce::DeviceReduceSingleTileKernel<cub::_V_300304_SM_890::detail::reduce::policy_selector_from_types<float, unsigned long long, cuda::std::__4::plus<void>>, float *, float *, int, cuda::std::__4::plus<void>, float, float, cuda::std::__4::identity>(T2, T3, T4, T5, T6, T8)"
0.0,355039,78,4551.8,4544.0,4352,4832,108.5,"void cub::_V_300304_SM_890::detail::select::DeviceSelectSweepKernel<cub::_V_300304_SM_890::detail::select::policy_hub<float, bool, int, (bool)0, (cub::_V_300304_SM_890::SelectImpl)0>::Policy1000, thrust::_V_300304_SM_890::transform_iterator<lfs::core::ops::extract_value_op, thrust::_V_300304_SM_890::zip_iterator<cuda::std::__4::tuple<thrust::_V_300304_SM_890::device_ptr<const float>, thrust::_V_300304_SM_890::device_ptr<const unsigned char>>>, thrust::_V_300304_SM_890::use_default, thrust::_V_300304_SM_890::use_default>, thrust::_V_300304_SM_890::transform_iterator<lfs::core::ops::extract_mask_op, thrust::_V_300304_SM_890::zip_iterator<cuda::std::__4::tuple<thrust::_V_300304_SM_890::device_ptr<const float>, thrust::_V_300304_SM_890::device_ptr<const unsigned char>>>, thrust::_V_300304_SM_890::use_default, thrust::_V_300304_SM_890::use_default>, thrust::_V_300304_SM_890::device_ptr<float>, long *, cub::_V_300304_SM_890::ScanTileState<int, (bool)1>, void lfs::core::tensor_ops::<unnamed>::launch_masked_select_impl<float>(const T1 *, const unsigned char *, T1 *, unsigned long, unsigned long, CUstream_st *)::[lambda(bool) (instance 1)], cub::_V_300304_SM_890::NullType, int, cub::_V_300304_SM_890::detail::select::streaming_context_t<long, (bool)1>, (cub::_V_300304_SM_890::SelectImpl)0>(T2, T3, T4, T5, T6, T7, T8, T9, int, T10, cub::_V_300304_SM_890::detail::vsmem_t)"
0.0,344285,338,1018.6,1024.0,991,1056,13.0,"void cub::_V_300304_SM_890::detail::radix_sort::DeviceRadixSortExclusiveSumKernel<cub::_V_300304_SM_890::detail::radix_sort::policy_selector_from_types<unsigned int, unsigned int, unsigned int>, unsigned int>(T2 *)"
0.0,304795,300,1016.0,1024.0,991,1216,29.5,"void cub::_V_300304_SM_890::detail::transform::transform_kernel<cub::_V_300304_SM_890::detail::transform::policy_selector_from_types<(bool)1, (bool)1, cuda::std::__4::tuple<thrust::_V_300304_SM_890::device_ptr<const float>, thrust::_V_300304_SM_890::device_ptr<const float>>, thrust::_V_300304_SM_890::device_ptr<float>>, int, cub::_V_300304_SM_890::detail::transform::always_true_predicate, lfs::core::ops::add_op, float *, const float *, const float *>(T2, int, bool, T3, T4, T5, cub::_V_300304_SM_890::detail::transform::kernel_arg<T6>...)"
0.0,294624,300,982.1,992.0,960,1152,21.9,"void cub::_V_300304_SM_890::detail::transform::transform_kernel<cub::_V_300304_SM_890::detail::transform::policy_selector_from_types<(bool)1, (bool)1, cuda::std::__4::tuple<thrust::_V_300304_SM_890::device_ptr<float>>, thrust::_V_300304_SM_890::device_ptr<float>>, int, cub::_V_300304_SM_890::detail::transform::always_true_predicate, lfs::core::tensor_ops::DivideByFunctor, float *, float *>(T2, int, bool, T3, T4, T5, cub::_V_300304_SM_890::detail::transform::kernel_arg<T6>...)"
0.0,267711,300,892.4,864.0,768,1280,85.3,"void cub::_V_300304_SM_890::detail::scan::DeviceScanInitKernel<cub::_V_300304_SM_890::ScanTileState<unsigned long, (bool)1>>(T1, int)"
