Total (MB),Count,Avg (MB),Med (MB),Min (MB),Max (MB),StdDev (MB),Operation
4544.101,4680,0.971,0.074,0.000,4.700,1.522,[CUDA memset]
740.372,434,1.706,2.447,0.000,2.447,1.111,[CUDA memcpy Host-to-Device]
337.875,316,1.069,1.412,0.002,4.237,0.621,[CUDA memcpy Device-to-Device]
6.490,751,0.009,0.000,0.000,0.500,0.053,[CUDA memcpy Device-to-Host]
